Title,Author,HTML_Link,Bookshelf
Stories of Birds,Lenore Elizabeth Mulets,https://www.gutenberg.org/cache/epub/20547/pg20547-images.html,Animals-Wild-Birds
The Curious Book of Birds,Abbie Farwell Brown,https://www.gutenberg.org/cache/epub/16140/pg16140-images.html,Animals-Wild-Birds
Birds Every Child Should Know,Neltje Blanchan,https://www.gutenberg.org/cache/epub/38233/pg38233-images.html,Animals-Wild-Birds
Birds of the Indian Hills,Douglas Dewar,https://www.gutenberg.org/cache/epub/23755/pg23755-images.html,Animals-Wild-Birds
The Bird Study Book,T. Gilbert Pearson,https://www.gutenberg.org/cache/epub/21007/pg21007-images.html,Animals-Wild-Birds
"Argentine Ornithology, Volume 1 (of 2)",W. H. Hudson and Philip Lutley Sclater,https://www.gutenberg.org/cache/epub/38956/pg38956-images.html,Animals-Wild-Birds
An Australian Bird Book: A Pocket Book for Field Use,John Albert Leach,https://www.gutenberg.org/cache/epub/34781/pg34781-images.html,Animals-Wild-Birds
Our Bird Comrades,Leander S. Keyser,https://www.gutenberg.org/cache/epub/26346/pg26346-images.html,Animals-Wild-Birds
The Song of the Cardinal,Gene Stratton-Porter,https://www.gutenberg.org/cache/epub/533/pg533-images.html,Animals-Wild-Birds
Color Key to North American Birds,Frank M. Chapman,https://www.gutenberg.org/cache/epub/38003/pg38003-images.html,Animals-Wild-Birds
Dickey Downy: The Autobiography of a Bird,Virginia Sharpe Patterson,https://www.gutenberg.org/cache/epub/16255/pg16255-images.html,Animals-Wild-Birds
The Woodpeckers,Fannie Hardy Eckstorm,https://www.gutenberg.org/cache/epub/35062/pg35062-images.html,Animals-Wild-Birds
"Birds and Bees, Sharp Eyes, and Other Papers",John Burroughs,https://www.gutenberg.org/cache/epub/3163/pg3163-images.html,Animals-Wild-Birds
The Story of an Ostrich: An Allegory and Humorous Satire in Rhyme.,I. J. Potter,https://www.gutenberg.org/cache/epub/37530/pg37530-images.html,Animals-Wild-Birds
Explanation of Terms Used in Entomology,John Bernhard Smith,https://www.gutenberg.org/cache/epub/22748/pg22748-images.html,Animals-Wild-Insects
The Life of the Bee,Maurice Maeterlinck,https://www.gutenberg.org/cache/epub/4511/pg4511-images.html,Animals-Wild-Insects
Social Life in the Insect World,Jean-Henri Fabre,https://www.gutenberg.org/cache/epub/18350/pg18350-images.html,Animals-Wild-Insects
An Elementary Study of Insects,Leonard Haseman,https://www.gutenberg.org/cache/epub/23434/pg23434-images.html,Animals-Wild-Insects
